SA,Unique Identifier
ABG Sundal Collier,ABG
APB Financial,APB
Axiom Capital,Axiom
B. Riley,Riley
Banca IMI,Banca
Bank of America Merrill Lynch,Merrill
Bankhaus Lampe,Lampe
Barclays,Barclays
BB&T Capital Markets,BB&T
Benchmark Company LLC,Benchmark
Berenberg,Berenberg
Bernstein,Bernstein
BMO Capital,BMO
"Brean Capital, LLC",Brean
Bryan Garnier,Bryan
BTIG,BTIG
Canaccord Genuity,Canaccord
Cantor Fitzgerald,Cantor
Carnegie Securities,Carnegie
CIBC World Markets,CIBC
Citi,Citi
CLSA,CLSA
Commerzbank Securities,Commerzbank
Compass Point,Compass
Cowen,Cowen
Credit Suisse,Suisse
DA Davidson,Davidson
Danske Bank,Danske
Davy,Davy
Deutsche Bank,Deutsche
DnB Markets,DnB
Drexel Hamilton,Drexel
DZ Bank,DZ
Equinet,Equinet
Evercore ISI,Evercore
Exane BNP Paribas,Exane
FBR Capital,FBR
First Analysis,Analysis
Gilbert Dupont,Gilbert
GMP Securities,GMP
Goldman Sachs,Goldman
Guggenheim Securities,Guggenheim
H.C. Wainwright,H.C.
Handelsbanken,Handelsbanken
Helvea,Helvea
Hovde Group,Hovde
HSBC,HSBC
Imperial Capital,Imperial
Investec,Investec
Ivestec,Ivestec
Janney,Janney
Jefferies,Jefferies
JMP Securities,JMP
JPMorgan,JPMorgan
"Keefe, Bruyette & Woods",Keefe
Kepler Cheuvreux,Kepler
KeyBanc,KeyBanc
Ladenburg Thalmann,Ladenburg
Landesbank Baden-Wuerttemberg,Baden-Wuerttemberg
Leerink Partners,Leerink
Longbow Research,Longbow
Macquarie,Macquarie
Mainfirst Bank AG,Mainfirst
Maxim Group,Maxim
Mediobanca,Mediobanca
MLV & Co,MLV
MM Warburg,Warburg
Morgan Stanley,Morgan
Natixis,Natixis
Needham,Needham
Nomura Securities,Nomura
Nordea,Nordea
NordLB,NordLB
Northland Securities,Northland
Numis,Numis
Oddo,Oddo
Oppenheimer,Oppenheimer
Pareto,Pareto
Peel Hunt,Peel
Piper Jaffray,Piper
Pivotal Research,Pivotal
Pohjola Bank,Pohjola
Rabo,Rabo
Raymond James,Raymond
RBC Capital,RBC
Redburn,Redburn
Roth Capital,Roth
RW Baird,RW
Scotiabank,Scotiabank
SEB Enskilda,SEB
Sidoti,Sidoti
Simmons & Company,Simmons
Societe Generale,Societe
Sparebank 1 Markets,Sparebank
Standpoint Research,Standpoint
Stephens,Stephens
"Sterne, Agee",Sterne
Stifel Nicolaus Europe,Stifel
SunTrust Robinson Humphrey,SunTrust
Susquehanna,Susquehanna
Swedbank,Swedbank
TD Securities,TD
UBS,UBS
Vontobel,Vontobel
Wedbush Securities,Wedbush
Wells Fargo,Wells
William Blair,William
Wolfe Research,Wolfe
Wunderlich Securities,Wunderlich
